Key,ShortKey,Source,Row,Module,Field,Role,CN,TH
Item_9536_Name,aFPl,d道具_Item_A.csv,8,Item,Name,,源液,หยาดเงินปฐมกาล
Item_9536_Desc,aFPj,d道具_Item_A.csv,8,Item,Desc,,自融蚀浆中提取的高纯度源液，极为珍贵。可提炼、衰变为银芯。,ของเหลวต้นกำเนิดความบริสุทธิ์สูงที่สกัดจากเมือกกร่อนสลาย มีความล้ำค่าเป็นอย่างยิ่ง สามารถนำไปกลั่นหรือปล่อยให้สลายตัวกลายเป็นแกนเงินได้
Item_9567_Name,aFRx,d道具_Item_A.csv,9,Item,Name,,银芯,แกนเงิน
Item_9567_Desc,aFRv,d道具_Item_A.csv,9,Item,Desc,,蕴含强大精神力量的类银物质，稀有而昂贵。,สสารคล้ายเงินที่แฝงไปด้วยพลังแห่งจิตวิญญาณอันมหาศาล เป็นวัตถุดิบที่หาได้ยากยิ่งและมีมูลค่าสูง
Item_10108_Name,aCQJ,d道具_Item_A.csv,10,Item,Name,,蔷薇金券,คูปองกุหลาบทอง
Item_10108_Desc,aCQH,d道具_Item_A.csv,10,Item,Desc,,王国货币的优雅代称。处处皆可获取，事事皆需使用。,นามเรียกขานอันสง่างามของสกุลเงินแห่งอาณาจักร สามารถหาได้จากทุกหนแห่ง และจำเป็นต้องใช้กับทุกสรรพสิ่ง
Item_9578_Name,aFSl,d道具_Item_A.csv,11,Item,Name,,灵啡肽,เมโนฟิน
Item_9578_Desc,aFSj,d道具_Item_A.csv,11,Item,Desc,,温柯尔小姐研制的神秘制剂，帮助调查员在密境中保持理智。副作用未知，请谨慎使用。\n当前数量小于300时，每5分钟将自动补充1支；超出300时，每15分钟自动补充1支。\n最多可持有3000支。,"ยาลึกลับที่ปรุงขึ้นโดยคุณวิงเกิล ช่วยให้เหล่าผู้สืบสวนยังคงรักษาซึ่งสติสัมปชัญญะได้ท่ามกลางแดนลี้ลับ ผลข้างเคียงยังไม่เป็นที่แน่ชัด โปรดใช้งานด้วยความระมัดระวัง \nเมื่อปริมาณมีน้อยกว่า 300 จะฟื้นฟูอัตโนมัติ 1 หน่วยทุก 5 นาที, หากเกิน 300 จะฟื้นฟูทุก 15 นาที, ความจุสูงสุด 3,000"
Item_9556_Name,aFQJ,d道具_Item_A.csv,12,Item,Name,,经验,ค่าประสบการณ์
Item_9556_Desc,aFQH,d道具_Item_A.csv,12,Item,Desc,,经验达到一定值时，守密人等级提升。可在调查关卡、幕间演习等玩法中消耗灵啡肽获得。,เมื่อค่าประสบการณ์ถึงระดับที่กำหนด เลเวลของผู้รักษาความลับจะเพิ่มขึ้น สามารถได้รับจากการใช้เมโนฟินในโหมดการเล่น เช่น อีเวนต์สืบสวนหรือบทคั่น
